packets_received,bytes_received,packets_transmitted,bytes_transmitted,traffic_type,i_src_host,i_dst_host
756.0,1113672.0,756.0,1113672.0,2,h9,h7
793338.0,25614546944.0,793338.0,25614546944.0,3,h2,h8
70.0,6300.0,70.0,6300.0,1,h1,h2
743232.0,22948904960.0,743232.0,22948904960.0,3,iot1,h4
80.0,6720.0,80.0,6720.0,1,h10,h1
708291.0,23000338432.0,708291.0,23000338432.0,3,h1,h3
0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0,0,0
69.0,6258.0,69.0,6258.0,1,h9,h5
756.0,1113672.0,756.0,1113672.0,2,h6,h4
685984.0,22047545344.0,685984.0,22047545344.0,3,h1,h3
796896.0,26174722048.0,796896.0,26174722048.0,3,h9,h2
71.0,6342.0,71.0,6342.0,1,h10,h3
746.0,1113252.0,746.0,1113252.0,2,iot1,h2
70.0,6300.0,70.0,6300.0,1,h2,h4
710570.0,22222053376.0,710570.0,22222053376.0,3,h3,h8
801280.0,24809764864.0,801280.0,24809764864.0,3,h6,h1
70.0,6300.0,70.0,6300.0,1,h4,h6
756.0,1113672.0,756.0,1113672.0,2,h1,iot1
70.0,6300.0,70.0,6300.0,1,h9,h6
1011648.0,33250004992.0,1011648.0,33250004992.0,3,h4,h1
722088.0,22253352960.0,722088.0,22253352960.0,3,h10,h8
71.0,6342.0,71.0,6342.0,1,h9,h1
0.0,0.0,0.0,0.0,0,0,0
70.0,6300.0,70.0,6300.0,1,h2,h7
80.0,6720.0,80.0,6720.0,1,h3,h8
754.0,1114612.0,754.0,1114612.0,2,h2,h3
706872.0,22256541696.0,706872.0,22256541696.0,3,h7,h1
0.0,0.0,0.0,0.0,0,0,0
736584.0,22778597376.0,736584.0,22778597376.0,3,h3,h10
0.0,0.0,0.0,0.0,0,0,0
80.0,6720.0,80.0,6720.0,1,h5,h2
736.0,1112832.0,736.0,1112832.0,2,h2,h5
756.0,1113672.0,756.0,1113672.0,2,h1,h9
70.0,6300.0,70.0,6300.0,1,h8,h5
687536.0,23101466624.0,687536.0,23101466624.0,3,h10,h1
70.0,6300.0,70.0,6300.0,1,h2,h8
771376.0,24472246272.0,771376.0,24472246272.0,3,iot1,h2
70.0,6300.0,70.0,6300.0,1,h2,h7
756.0,1113672.0,756.0,1113672.0,2,h1,iot1
70.0,6300.0,70.0,6300.0,1,iot1,h8
661.0,975338.0,661.0,975338.0,2,h9,h1
80.0,6720.0,80.0,6720.0,1,h6,h7
736.0,1112832.0,736.0,1112832.0,2,h7,h6
754.0,1114612.0,754.0,1114612.0,2,h2,h3
686584.0,21429975040.0,686584.0,21429975040.0,3,iot1,h4
756.0,1113672.0,756.0,1113672.0,2,h9,h2
688480.0,21990039552.0,688480.0,21990039552.0,3,h5,h1
0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0,0,0
